scheme_code,date,aum
125497,2018-01-31,1067819.91
119551,2018-01-31,443812.74
120503,2018-01-31,249687.87
118632,2018-01-31,348656.19
119092,2018-01-31,766367.67
120841,2018-01-31,81506.8
125497,2018-02-28,1099436.96
119551,2018-02-28,439084.78
120503,2018-02-28,251209.99
118632,2018-02-28,343945.79
119092,2018-02-28,763250.01
120841,2018-02-28,82343.69
125497,2018-03-31,1084404.14
119551,2018-03-31,436863.84
120503,2018-03-31,255604.71
118632,2018-03-31,348158.12
119092,2018-03-31,760213.82
120841,2018-03-31,83534.65
125497,2018-04-30,1112025.57
119551,2018-04-30,430452.83
120503,2018-04-30,262069.2
118632,2018-04-30,355088.9
119092,2018-04-30,761743.77
120841,2018-04-30,82931.03
125497,2018-05-31,1148567.45
119551,2018-05-31,431240.44
120503,2018-05-31,259353.45
118632,2018-05-31,351479.71
119092,2018-05-31,782596.3
120841,2018-05-31,84190.44
125497,2018-06-30,1177691.0
119551,2018-06-30,440506.33
120503,2018-06-30,262416.78
118632,2018-06-30,363309.04
119092,2018-06-30,785669.33
120841,2018-06-30,85251.41
125497,2018-07-31,1208864.76
119551,2018-07-31,447521.83
120503,2018-07-31,269786.85
118632,2018-07-31,368347.26
119092,2018-07-31,801562.32
120841,2018-07-31,84167.97
125497,2018-08-31,1204506.7
119551,2018-08-31,447284.37
120503,2018-08-31,266816.39
118632,2018-08-31,367109.45
119092,2018-08-31,793586.83
120841,2018-08-31,84075.28
125497,2018-09-30,1224723.41
119551,2018-09-30,448734.29
120503,2018-09-30,267752.66
118632,2018-09-30,365448.41
119092,2018-09-30,792276.53
120841,2018-09-30,86751.62
125497,2018-10-31,1246035.76
119551,2018-10-31,455670.18
120503,2018-10-31,266027.51
118632,2018-10-31,373289.59
119092,2018-10-31,786865.38
120841,2018-10-31,87096.27
125497,2018-11-30,1288994.3
119551,2018-11-30,463416.57
120503,2018-11-30,269445.29
118632,2018-11-30,380468.22
119092,2018-11-30,808222.95
120841,2018-11-30,89169.16
125497,2018-12-31,1284421.47
119551,2018-12-31,457209.11
120503,2018-12-31,269653.48
118632,2018-12-31,379854.54
119092,2018-12-31,804625.66
120841,2018-12-31,92035.54
125497,2019-01-31,1321436.41
119551,2019-01-31,457544.65
120503,2019-01-31,274445.74
118632,2019-01-31,381670.85
119092,2019-01-31,829349.7
120841,2019-01-31,92766.54
125497,2019-02-28,1319115.98
119551,2019-02-28,456323.63
120503,2019-02-28,278032.31
